|E|,Time_elapsed_GM(ns),Time_elapsed_GA(ns)
412,1920000,3057700
413,2003400,3110500
414,1740000,3164400
415,1736700,3199300
416,1772700,3178300
417,2079500,3265300
418,2069000,3327500
419,1790700,3240500
420,2361500,3480400
421,2282100,3499800
422,1886200,3388200
423,2287400,3298400
424,2076700,3361400
425,1999900,3327100
426,1924000,3337400
427,1984300,3323000
428,2607200,3398700
429,2049400,3352400
430,2269800,3548200
431,2157900,3407300
432,3261200,3376500
433,2224000,3550500
434,2209800,3525100
435,1937800,3419500
436,1935400,3491300
437,2122500,3490400
438,2132500,3526400
439,2247200,3474100
440,2008200,3671100
441,2057700,3557000
442,2349900,3658600
443,2188800,3615600
444,2090100,3675500
445,2055900,3638200
446,2075300,3683000
447,2120000,3640100
448,2768300,3676400
449,2054600,3691200
450,2834600,3897100
451,2032400,3840200
452,2207800,3833400
453,2620000,3888100
454,2141600,3803100
455,2094900,3913200
456,2146300,3726600
457,2556500,3767500
458,2366500,3902400
459,2106200,3961900
460,2293300,3900000
461,2393100,3903700
462,2239600,4070200
463,2511100,4027000
464,2277900,4045100
465,2975500,4038600
466,2275600,4025500
467,2216600,4090100
468,2200800,4213400
469,2435500,4091600
470,2287900,4078500
471,2350300,4050800
472,2257000,4175400
473,2327700,4049300
474,2263600,4202200
475,2362100,4426800
476,2678100,4144500
477,2277300,4272000
478,3017100,4346600
479,2840900,4725500
480,2362200,4377200
481,2553300,4590000
482,2779100,4500600
483,2356100,4278500
484,2424500,4710500
485,2402400,4367500
486,2496500,4510300
487,2449200,4554400
488,2383800,4694300
489,2824200,4493800
490,2381400,4567000
491,3057600,4381100
492,2449500,4458800
493,2591400,4425500
494,2414700,4446300
495,2462800,4491000
496,2472400,4481900
497,2952900,4855500
498,2510900,4655600
499,2667100,6220500
500,3205400,4640400
