|E|,Time_elapsed_GM(ns),Time_elapsed_GA(ns)
100,203600,221700
101,154200,228300
102,136600,227400
103,155300,230200
104,169100,239300
105,144500,243300
106,146500,241800
107,162500,243700
108,155500,260700
109,154300,248100
110,189500,260400
111,229200,261600
112,163600,270000
113,164800,272000
114,197600,277600
115,170000,282900
116,169500,283100
117,210500,296400
118,255500,298900
119,261800,306100
120,225100,297500
121,184300,307000
122,194600,325600
123,214800,325600
124,193300,328900
125,199500,320800
126,248500,322200
127,259000,330900
128,201700,339200
129,255200,342800
130,208000,406700
131,280800,347600
132,399500,354800
133,226400,370500
134,293100,427300
135,303000,376800
136,229400,388100
137,229900,378800
138,278400,394000
139,236200,437000
140,236700,409100
141,295400,405300
142,243000,419200
143,296400,439100
144,355300,458500
145,257200,418300
146,359000,430000
147,287200,461800
148,279000,440300
149,266100,442900
150,272600,471400
151,278300,461000
152,291500,482600
153,349600,507700
154,284100,501900
155,334400,488700
156,334500,518100
157,309900,630900
158,408600,513700
159,404400,491000
160,341200,517300
161,313600,557900
162,406600,518800
163,364900,546400
164,321000,537200
165,370700,569000
166,402200,574000
167,332700,602300
168,345000,569100
169,388800,582700
170,346700,570700
171,366400,576100
172,489400,586400
173,377500,591700
174,353200,609700
175,476400,619200
176,405000,614800
177,409100,614600
178,372800,628300
179,491800,624500
180,396600,650700
181,507200,666500
182,479600,662500
183,439200,639700
184,433200,664700
185,547000,665100
186,429200,665000
187,415000,701600
188,441900,685800
189,442000,681700
190,500100,703200
191,446200,694000
192,427700,709600
193,600800,734200
194,426800,721200
195,594200,733400
196,485200,737500
197,528600,745200
198,656800,760400
199,569300,789200
200,606600,907700
201,511800,763300
202,540700,793600
203,533800,799000
204,558100,804300
205,493400,830700
206,480700,822900
207,485600,829000
208,499000,857300
209,618500,859100
210,553100,869300
211,506800,864600
212,543000,852700
213,517000,866600
214,621000,894800
215,564800,854200
216,533800,890000
217,529600,902700
218,527000,927700
219,592200,938300
220,543000,935400
221,558400,923800
222,723500,910300
223,554200,922900
224,664100,947200
225,574000,959600
226,604800,957800
227,681600,992900
228,590000,982700
229,743700,1043900
230,651800,1024900
231,599200,1029000
232,653400,1039900
233,606000,1044300
234,708100,1054200
235,663300,1047400
236,908900,1106400
237,707300,1052900
238,810400,1074500
239,770300,1102800
240,669400,1094600
241,851000,1162500
242,804500,1112700
243,661500,1132700
244,758800,1101800
245,825600,1135500
246,684800,1138200
247,715800,1184400
248,930900,1174600
249,686900,1193400
250,678200,1168600
251,836000,1207200
252,696000,1201300
253,740500,1237600
254,698100,1270500
255,708400,1288700
256,734300,1218200
257,726900,1245600
258,777500,1262100
259,740800,1289200
260,831700,1397200
261,911900,1340500
262,746500,1327800
263,857400,1322000
264,823300,1342100
265,1077300,1370100
266,890700,1395700
267,957700,1354200
268,841700,1437800
269,945300,1423400
270,884200,1387900
271,880000,1395100
272,889500,1396200
273,860900,1388400
274,817100,1399800
275,811600,1426600
276,1154900,1410000
277,924100,1457900
278,864100,1454100
279,856200,1495800
280,1064600,1478600
281,912600,1481500
282,990800,1532200
283,873900,1497600
284,864400,1501900
285,916700,1624000
286,933900,1538500
287,903300,1613700
288,910500,1577500
289,893800,1655000
290,1020800,1702200
291,919600,1535100
292,1332200,1570800
293,905800,1628200
294,925200,1606400
295,1103800,1601800
296,936300,1612600
297,941800,1683500
298,1262500,1638200
299,1054400,1675800
300,938500,1734200
301,1138400,1708500
302,967000,1710600
303,985200,1746400
304,973400,1705800
305,1221900,1753900
306,988900,1765900
307,1128600,1750700
308,998800,1730600
309,1050700,1796600
310,1310700,1750000
311,1011100,1755300
312,1101900,1808500
313,1102200,1893700
314,1453000,1854600
315,1171200,1852300
316,1046200,1863900
317,1127200,1861300
318,1127400,1868000
319,1096300,1894700
320,1413800,1936000
321,1120900,1929900
322,1173900,1886100
323,1308200,1940200
324,1568400,1972100
325,1707100,1987400
326,1151600,1963600
327,1301700,1995100
328,1167900,2026500
329,1279500,2043800
330,1206100,2246200
331,1185400,2101100
332,1175600,2048500
333,1255500,2038900
334,1429800,2062100
335,1210600,2094700
336,1441100,2157200
337,1631300,2087300
338,1691800,2074000
339,1213300,2089300
340,1223800,2177800
341,1486600,2188800
342,1210800,2168100
343,1795800,2129900
344,1452000,2173300
345,1290100,2317600
346,1244300,2178500
347,1295700,2251800
348,1400800,2231300
349,1264900,2283700
350,1335300,2285200
351,1535400,2261100
352,1484100,2271400
353,1287900,2277900
354,1769400,2316600
355,1433300,2511700
356,1575400,2325000
357,1332200,2363300
358,1473600,2370200
359,1683000,2390300
360,1344600,2483700
361,1660800,2353500
362,1967700,2413200
363,1555800,2438100
364,1368100,2411700
365,1378200,2485700
366,1488300,2515000
367,1508500,2426500
368,1433600,2493100
369,1632100,2512800
370,1525200,2480200
371,1757600,2508500
372,1435200,2519700
373,1605500,2698100
374,1793000,2581300
375,1435600,2594700
376,1582700,2589200
377,1800100,2590100
378,1708400,2635100
379,1496000,2600800
380,1776200,2615300
381,1844500,2700600
382,1652900,2635400
383,1510600,2747300
384,1698400,2686500
385,1689100,2749600
386,1533200,2719700
387,1518700,2791000
388,1632300,2750600
389,1565200,2759800
390,1760100,2788200
391,1702500,2835100
392,1613300,2947300
393,1820800,2836800
394,1591800,2782100
395,1594000,2856900
396,2136900,2981100
397,1670100,3151400
398,1748900,2917100
399,1619600,2981700
400,1980500,2949000
401,1793800,2998200
402,2291700,2955400
403,1639600,3174500
404,1670200,2958700
405,1858100,3019900
406,1845500,3032300
407,1720300,3007200
408,1729000,3065300
409,1913900,3069500
410,1763300,3121400
411,2280100,3176700
